id,sale_date,car_brand,car_model,quantity_sold,price_per_unit,total_revenue
77,2020-08,GMC,2500,18,42360,762480
78,2020-04,GMC,Envoy XL,46,37047,1704162
79,2020-11,Chevrolet,Camaro,42,67553,2837226
80,2020-12,Lexus,RX,15,53142,797130
81,2020-02,Honda,Accord,7,82463,577241
82,2020-06,Mercury,Sable,16,75175,1202800
83,2020-03,Audi,A8,20,15650,313000
84,2020-01,Chevrolet,Malibu,20,43318,866360
85,2020-01,BMW,7 Series,46,64260,2955960
86,2020-02,Infiniti,G,24,34190,820560
87,2020-07,GMC,Terrain,32,28723,919136
88,2020-03,GMC,Savana 2500,33,38841,1281753
89,2020-08,Ford,Mustang,8,66392,531136
90,2020-10,BMW,545,10,92708,927080
91,2020-10,Isuzu,Hombre Space,49,24895,1219855
92,2020-05,Audi,S4,38,64967,2468746
93,2020-07,Dodge,Stratus,28,89783,2513924
94,2020-07,Ford,Transit Connect,17,53068,902156
95,2020-01,Mitsubishi,Lancer,2,22802,45604
96,2020-03,Hummer,H2,21,93922,1972362
97,2020-07,Chevrolet,Aveo,33,72231,2383623
98,2020-04,Lotus,Esprit,46,47065,2164990
99,2020-07,GMC,Savana 3500,34,94760,3221840
100,2020-05,Subaru,Outback Sport,23,16096,370208
101,2020-06,Volkswagen,Passat,43,75979,3267097
102,2020-01,Mitsubishi,Challenger,5,66148,330740
103,2020-04,Volkswagen,Golf,21,55138,1157898
104,2020-05,Lexus,LX,27,66982,1808514
105,2020-12,Buick,Verano,37,81064,2999368
106,2020-01,Volvo,S80,22,20777,457094
107,2020-10,Lexus,SC,43,86795,3732185
108,2020-03,Ford,F250,23,94805,2180515
109,2020-05,Infiniti,Q,40,30466,1218640
110,2020-06,Volkswagen,GTI,25,80595,2014875
111,2020-04,Honda,CR-V,37,27479,1016723
112,2020-10,Chevrolet,2500,9,26082,234738
113,2020-01,Cadillac,STS-V,41,82619,3387379
114,2020-06,Mercury,Sable,29,75579,2191791
115,2020-11,Pontiac,Grand Prix,38,50970,1936860
116,2020-01,Chevrolet,Impala,27,14854,401058
117,2020-01,Plymouth,Grand Voyager,20,43833,876660
118,2020-01,Plymouth,Neon,27,89220,2408940
119,2020-02,Bentley,Azure,32,33808,1081856
120,2020-07,GMC,Savana 2500,22,88653,1950366
121,2020-02,Bentley,Continental GTC,36,32317,1163412
122,2020-12,Ford,Ranger,26,93749,2437474
123,2020-02,Jaguar,S-Type,32,67556,2161792
124,2020-02,Plymouth,Voyager,48,45991,2207568
125,2020-10,Plymouth,Laser,46,23972,1102712
126,2020-02,Lincoln,MKX,28,33019,924532
127,2020-05,Chevrolet,G-Series 1500,23,20395,469085
128,2020-04,GMC,3500 Club Coupe,42,99505,4179210
129,2020-01,Ford,Mustang,3,58158,174474
130,2020-12,Mercedes-Benz,300SE,42,15760,661920
131,2020-04,Honda,Accord,46,98188,4516648
132,2020-09,Mercury,Sable,43,25686,1104498
133,2020-06,GMC,Vandura G2500,27,55772,1505844
134,2020-01,Buick,Enclave,20,98235,1964700
135,2020-07,Aston Martin,DB9,7,31703,221921
136,2020-05,Nissan,240SX,39,26055,1016145
137,2020-06,Kia,Spectra,7,53086,371602
138,2020-02,Subaru,BRZ,34,57865,1967410
139,2020-07,Pontiac,Trans Sport,46,22404,1030584
140,2020-08,Pontiac,LeMans,27,54656,1475712
141,2020-07,Pontiac,Firebird,12,57329,687948
142,2020-08,Volkswagen,GTI,40,63418,2536720
143,2020-10,GMC,Yukon Denali,38,42387,1610706
144,2020-03,Mercury,Sable,34,58195,1978630
145,2020-04,GMC,Vandura G3500,13,68114,885482
146,2020-11,GMC,Vandura G1500,18,91792,1652256
147,2020-10,Ford,Tempo,17,44656,759152
148,2020-08,Mitsubishi,Expo,15,19211,288165
149,2020-11,Nissan,Frontier,17,24506,416602
150,2020-12,Bentley,Arnage,25,41719,1042975
151,2020-04,Chrysler,Town & Country,44,46007,2024308
152,2020-10,MINI,Cooper,17,26027,442459
153,2020-09,Toyota,Tacoma Xtra,46,35322,1624812
154,2020-06,Toyota,Tundra,11,24871,273581
155,2020-11,Audi,TT,32,54206,1734592
156,2020-06,Infiniti,G,37,68158,2521846
157,2020-10,Subaru,Justy,43,14275,613825
158,2020-10,Eagle,Talon,1,43920,43920
159,2020-06,GMC,Savana 3500,20,49981,999620
160,2020-06,Suzuki,Grand Vitara,48,73600,3532800
161,2020-01,Acura,Legend,22,97759,2150698
162,2020-07,Chevrolet,Cavalier,33,17210,567930
163,2020-04,Mazda,MX-3,15,66209,993135
164,2020-07,Land Rover,Discovery,12,83177,998124
165,2020-09,Volkswagen,Beetle,1,38651,38651
166,2020-04,Bentley,Continental GT,36,30601,1101636
167,2020-11,Subaru,Impreza,30,24401,732030
168,2020-07,Mitsubishi,3000GT,17,69255,1177335
169,2020-01,Suzuki,XL7,31,45132,1399092
170,2020-02,Honda,Element,43,90407,3887501
171,2020-05,Audi,A8,3,97693,293079
172,2020-09,Cadillac,SRX,35,38548,1349180
173,2020-01,Kia,Carens,41,85964,3524524
174,2020-12,GMC,Sonoma,45,31150,1401750
175,2020-10,Buick,Somerset,48,30075,1443600
176,2020-06,Volvo,V70,50,86014,4300700
177,2020-02,Dodge,Avenger,48,69698,3345504
178,2020-01,Hyundai,Elantra,23,24544,564512
179,2020-08,Ford,F150,48,70534,3385632
180,2020-03,Volkswagen,GTI,31,73826,2288606
181,2020-12,Oldsmobile,Bravada,33,48802,1610466
182,2020-07,Porsche,Cayenne,24,83272,1998528
183,2020-01,Lexus,SC,19,70620,1341780
184,2020-06,Pontiac,Chevette,33,77133,2545389
185,2020-01,Toyota,Previa,16,41099,657584
186,2020-09,GMC,Safari,38,88890,3377820
187,2020-12,Chevrolet,2500,40,32830,1313200
188,2020-08,Ford,Fiesta,31,95102,2948162
189,2020-01,GMC,Canyon,5,48038,240190
190,2020-05,Jaguar,XJ Series,27,26864,725328
191,2020-04,GMC,1500,24,54078,1297872
192,2020-01,Volkswagen,Routan,26,28653,744978
193,2020-08,Ford,Econoline E250,17,80817,1373889
194,2020-02,Spyker,C8 Laviolette,20,58213,1164260
195,2020-10,Mitsubishi,Tredia,13,15926,207038
196,2020-11,Dodge,Ram,17,89028,1513476
197,2020-07,Buick,Regal,29,79850,2315650
198,2020-05,Ford,Escort,38,12361,469718
199,2020-12,Lotus,Esprit,26,24603,639678
200,2020-12,BMW,5 Series,34,97996,3331864
201,2020-10,Volvo,C30,35,60218,2107630
202,2020-01,Jaguar,XK Series,4,78211,312844
203,2020-01,Porsche,928,44,24949,1097756
204,2020-12,Chevrolet,Express,43,74444,3201092
205,2020-03,Mitsubishi,Galant,48,27874,1337952
206,2020-02,Chevrolet,Silverado,42,43041,1807722
207,2020-12,Mitsubishi,Galant,22,55935,1230570
208,2020-10,Nissan,Sentra,45,59622,2682990
209,2020-08,Ford,E350,19,76073,1445387
210,2020-04,BMW,8 Series,43,83751,3601293
211,2020-07,Oldsmobile,Silhouette,43,38663,1662509
212,2020-12,Lotus,Elise,37,40876,1512412
213,2020-03,Lexus,LS,45,98673,4440285
214,2020-07,Mercedes-Benz,M-Class,49,88783,4350367
215,2020-04,Lotus,Elise,3,97579,292737
216,2020-12,Nissan,Sentra,17,76963,1308371
217,2020-09,Daewoo,Lanos,41,13078,536198
218,2020-11,Toyota,Celica,11,14704,161744
219,2020-02,Dodge,Durango,3,95497,286491
220,2020-09,Bentley,Arnage,29,58160,1686640
221,2020-02,Pontiac,Trans Sport,19,57671,1095749
222,2020-01,GMC,Envoy,36,80562,2900232
223,2020-08,Aston Martin,Rapide,44,20242,890648
224,2020-11,Suzuki,XL-7,39,23668,923052
225,2020-04,Jeep,Wrangler,30,67448,2023440
226,2020-10,GMC,Sierra 3500,40,67707,2708280
227,2020-11,Chevrolet,Malibu,38,36558,1389204
228,2020-07,Oldsmobile,Achieva,2,86465,172930
229,2020-10,Cadillac,Escalade EXT,23,23504,540592
230,2020-12,Dodge,Ram 2500,22,79859,1756898
231,2020-12,Lexus,ES,33,66327,2188791
232,2020-07,Jeep,Grand Cherokee,24,83112,1994688
233,2020-08,Volkswagen,Eos,34,91310,3104540
234,2020-10,Chevrolet,Blazer,47,64470,3030090
235,2020-09,Land Rover,Range Rover Sport,45,74126,3335670
236,2020-08,BMW,X6 M,47,28783,1352801
237,2020-02,Nissan,Altima,4,99061,396244
238,2020-12,Cadillac,CTS-V,9,55537,499833
239,2020-05,Pontiac,Turbo Firefly,47,52588,2471636
240,2020-05,BMW,1 Series,27,58766,1586682
241,2020-08,MINI,Cooper Countryman,21,36178,759738
242,2020-05,Buick,Skylark,1,53045,53045
243,2020-05,Volvo,960,39,46281,1804959
244,2020-07,Volkswagen,Jetta,19,30717,583623
245,2020-06,Audi,A6,25,91521,2288025
246,2020-06,Cadillac,SRX,39,61183,2386137
247,2020-04,Volvo,S70,6,74103,444618
248,2020-11,GMC,Jimmy,3,55015,165045
249,2020-07,Saab,900,35,75901,2656535
250,2020-01,Jeep,Wrangler,38,22152,841776
251,2020-08,Ford,Explorer,4,14363,57452
252,2020-04,Aston Martin,DBS,21,44988,944748
253,2020-12,Jeep,Patriot,15,87474,1312110
254,2020-12,Nissan,Murano,32,22476,719232
255,2020-09,Dodge,Durango,9,91124,820116
256,2020-01,Ford,E250,20,64801,1296020
257,2020-05,Rolls-Royce,Phantom,4,66998,267992
258,2020-04,Mitsubishi,Pajero,35,39991,1399685
259,2020-04,Buick,Coachbuilder,50,68779,3438950
260,2020-01,Land Rover,Discovery,19,37955,721145
261,2020-10,Volkswagen,rio,46,88164,4055544
262,2020-01,Ford,Ranger,17,82330,1399610
263,2020-12,Chevrolet,Colorado,11,73621,809831
264,2020-03,Pontiac,Gemini,20,46774,935480
265,2020-12,Oldsmobile,Intrigue,14,68480,958720
266,2020-04,Honda,Civic,16,98261,1572176
267,2020-03,Mercedes-Benz,C-Class,2,82113,164226
268,2020-05,Pontiac,Trans Sport,38,69774,2651412
269,2020-10,Ford,F350,16,29964,479424
270,2020-05,Lotus,Elise,7,35367,247569
271,2020-10,Chevrolet,Cobalt SS,45,84513,3803085
272,2020-06,BMW,X5,8,19164,153312
273,2020-06,Chrysler,300C,20,44522,890440
274,2020-01,Dodge,Charger,25,36614,915350
275,2020-11,Ford,E-Series,43,52388,2252684
276,2020-11,Toyota,Avalon,38,41847,1590186
277,2020-11,Mitsubishi,Montero,12,90979,1091748
278,2020-11,Buick,LeSabre,5,71135,355675
279,2020-08,Pontiac,G6,11,20035,220385
280,2020-01,GMC,Canyon,27,83039,2242053
281,2020-04,Saturn,Outlook,49,32151,1575399
282,2020-02,Chevrolet,Blazer,23,91008,2093184
283,2020-06,Ford,Bronco,47,31314,1471758
284,2020-02,Ford,Expedition,27,19093,515511
285,2020-07,Chevrolet,Blazer,40,24626,985040
286,2020-02,Plymouth,Laser,14,81312,1138368
287,2020-12,Volkswagen,GTI,8,44337,354696
288,2020-06,BMW,M6,47,54282,2551254
289,2020-07,Studebaker,Avanti,12,24490,293880
290,2020-12,Dodge,Ram 1500,26,82771,2152046
291,2020-01,Ram,C/V,22,20798,457556
292,2020-09,Ford,Bronco II,48,71703,3441744
293,2020-09,Audi,5000CS,8,38853,310824
294,2020-04,Dodge,Grand Caravan,50,22929,1146450
295,2020-11,Chevrolet,Camaro,24,74290,1782960
296,2020-04,Volkswagen,Passat,16,24863,397808
297,2020-03,Suzuki,XL7,36,28941,1041876
298,2020-06,Oldsmobile,Regency,19,59506,1130614
299,2020-07,Kia,Sedona,35,53317,1866095
300,2020-07,GMC,1500,39,89804,3502356
301,2020-05,Chevrolet,Blazer,21,51937,1090677
302,2020-11,Smart,Fortwo,33,40198,1326534
303,2020-01,Plymouth,Acclaim,2,61126,122252
304,2020-01,Chrysler,Voyager,21,24912,523152
305,2020-08,Buick,Regal,13,32462,422006
306,2020-11,Toyota,Corolla,17,56842,966314
307,2020-09,Cadillac,Escalade,39,68155,2658045
308,2020-12,Subaru,Justy,45,73302,3298590
309,2020-03,Kia,Sephia,38,90109,3424142
310,2020-07,Mercedes-Benz,CLK-Class,4,21296,85184
311,2020-08,GMC,Suburban 1500,23,88441,2034143
312,2020-04,Suzuki,Swift,35,60991,2134685
313,2020-11,Toyota,4Runner,1,31883,31883
314,2020-07,Mercury,Cougar,14,59420,831880
315,2020-04,Toyota,FJ Cruiser,9,93631,842679
316,2020-10,Ford,F-Series,13,66474,864162
317,2020-10,Infiniti,Q,15,17989,269835
318,2020-10,Nissan,Maxima,36,17077,614772
319,2020-05,Oldsmobile,Cutlass Supreme,12,14548,174576
320,2020-02,Saturn,Outlook,36,33552,1207872
321,2020-05,Dodge,Ram 1500,2,37893,75786
322,2020-05,Lexus,LS,35,96682,3383870
323,2020-11,Volvo,850,35,58474,2046590
324,2020-10,Volvo,C70,19,41135,781565
325,2020-11,Oldsmobile,Achieva,33,60567,1998711
326,2020-08,Chevrolet,Express 3500,15,93424,1401360
327,2020-05,Mercury,Sable,32,65253,2088096
328,2020-02,Pontiac,Firebird,24,99813,2395512
329,2020-06,Audi,S4,20,11500,230000
330,2020-03,Mercury,Mountaineer,50,95331,4766550
331,2020-06,Dodge,Ram,39,99870,3894930
332,2020-06,Honda,del Sol,12,87738,1052856
333,2020-03,Toyota,Celica,40,67559,2702360
334,2020-05,Suzuki,XL7,14,97192,1360688
335,2020-10,Buick,Lucerne,24,97277,2334648
336,2020-03,Ford,Econoline E150,45,85487,3846915
337,2020-05,Pontiac,Trans Sport,48,41204,1977792
338,2020-12,Mercedes-Benz,S-Class,15,39614,594210
339,2020-08,Pontiac,Grand Prix,7,27367,191569
340,2020-03,MINI,Cooper Clubman,23,73416,1688568
341,2020-12,Ford,Thunderbird,43,98368,4229824
342,2020-11,Ford,Explorer,44,83478,3673032
343,2020-03,Audi,A4,46,12141,558486
344,2020-05,Mazda,Tribute,11,53453,587983
345,2020-01,Dodge,Ram Van 3500,7,29377,205639
346,2020-12,Chevrolet,1500,29,92028,2668812
347,2020-08,Lexus,LS,1,36671,36671
348,2020-04,Mazda,Protege,45,92528,4163760
349,2020-05,Mitsubishi,Pajero,37,97932,3623484
350,2020-07,Lexus,LX,40,65228,2609120
351,2020-08,Mercedes-Benz,GLK-Class,34,85348,2901832
352,2020-05,Oldsmobile,Achieva,6,58810,352860
353,2020-02,Mitsubishi,Mirage,45,74796,3365820
354,2020-08,Ford,Excursion,15,77710,1165650
355,2020-11,GMC,Yukon XL 1500,18,54063,973134
356,2020-12,Saab,9-3,12,14101,169212
357,2020-11,Jaguar,XJ Series,48,73638,3534624
358,2020-12,Eagle,Vision,44,42574,1873256
359,2020-09,Ford,Econoline E250,21,54917,1153257
360,2020-01,Porsche,928,48,38813,1863024
361,2020-02,Cadillac,Seville,16,53681,858896
362,2020-04,Kia,Spectra,15,23188,347820
363,2020-05,Acura,NSX,26,26852,698152
364,2020-05,Honda,Passport,10,51267,512670
365,2020-02,Mercury,Villager,36,48182,1734552
366,2020-05,Jeep,Grand Cherokee,48,98413,4723824
367,2020-10,Toyota,Corolla,35,49488,1732080
368,2020-05,Acura,NSX,30,20230,606900
369,2020-04,Ford,Festiva,31,46418,1438958
370,2020-05,Chevrolet,Suburban 2500,15,94607,1419105
371,2020-11,Audi,A6,21,72575,1524075
372,2020-12,Mercury,Tracer,47,26956,1266932
373,2020-04,Lotus,Elise,27,29520,797040
374,2020-07,GMC,Sierra,24,61977,1487448
375,2020-06,Hyundai,Scoupe,41,48223,1977143
376,2020-03,Mazda,CX-9,36,19645,707220
377,2020-09,Audi,90,16,52562,840992
378,2020-03,Land Rover,Defender 110,3,15376,46128
379,2020-12,Infiniti,EX,42,52734,2214828
380,2020-11,Toyota,Tundra,14,17779,248906
381,2020-10,Mazda,Miata MX-5,27,10840,292680
382,2020-02,BMW,7 Series,1,43289,43289
383,2020-03,Chevrolet,Suburban 1500,7,60756,425292
384,2020-03,Infiniti,G35,2,42162,84324
385,2020-10,Nissan,Armada,49,84107,4121243
386,2020-06,Volkswagen,Touareg,13,50110,651430
387,2020-09,Nissan,Pathfinder,15,23308,349620
388,2020-11,Mercury,Montego,40,71140,2845600
389,2020-02,Jaguar,X-Type,28,33535,938980
390,2020-02,Mazda,Mazda3,7,34861,244027
391,2020-01,Ford,Ranger,33,86498,2854434
392,2020-03,Ford,Taurus,15,52818,792270
393,2020-10,Oldsmobile,Bravada,32,49896,1596672
394,2020-08,Chevrolet,G-Series 1500,16,13922,222752
395,2020-04,Land Rover,LR2,2,92191,184382
396,2020-04,Toyota,Tacoma,23,13765,316595
397,2020-09,Cadillac,Escalade,29,98483,2856007
398,2020-06,Nissan,Pathfinder,34,43581,1481754
399,2020-05,Chevrolet,Lumina,24,89760,2154240
400,2020-01,BMW,8 Series,34,95388,3243192
401,2020-07,Pontiac,Bonneville,22,24710,543620
402,2020-10,Honda,del Sol,23,63047,1450081
403,2020-08,Infiniti,Q,46,35679,1641234
404,2020-04,GMC,Jimmy,15,58221,873315
405,2020-01,Chevrolet,Monte Carlo,13,49026,637338
406,2020-07,Aston Martin,Rapide,37,93615,3463755
407,2020-04,BMW,530,27,72750,1964250
408,2020-06,Chevrolet,Cobalt,23,38209,878807
409,2020-08,Ford,Probe,24,23904,573696
410,2020-05,Volvo,V40,42,33602,1411284
411,2020-07,Hyundai,Tiburon,25,91473,2286825
412,2020-08,Mercedes-Benz,CL-Class,19,42794,813086
413,2020-03,Pontiac,Gemini,14,94658,1325212
414,2020-07,Lotus,Esprit,39,17805,694395
415,2020-06,Lexus,CT,16,86628,1386048
416,2020-12,Chevrolet,Monte Carlo,27,80124,2163348
417,2020-03,Suzuki,Swift,14,73409,1027726
418,2020-06,Nissan,Maxima,45,78351,3525795
419,2020-12,Infiniti,I,10,83699,836990
420,2020-06,Buick,Regal,24,27247,653928
421,2020-05,Ford,Edge,45,54928,2471760
422,2020-04,Suzuki,Verona,27,18111,488997
423,2020-12,Honda,Fit,36,58180,2094480
424,2020-09,Mercedes-Benz,G-Class,15,28676,430140
425,2020-02,Chrysler,Sebring,49,10144,497056
426,2020-02,Mazda,929,29,86912,2520448
427,2020-07,Mercedes-Benz,SL-Class,7,82203,575421
428,2020-10,Chevrolet,Impala,15,26473,397095
429,2020-09,Pontiac,Grand Prix,32,15908,509056
430,2020-03,Volvo,C70,30,87678,2630340
431,2020-02,Toyota,Sequoia,44,58938,2593272
432,2020-08,Ford,Excursion,47,17254,810938
433,2020-01,Oldsmobile,Cutlass Supreme,20,21611,432220
434,2020-09,Ford,Aerostar,42,16939,711438
435,2020-11,Chevrolet,Colorado,44,89285,3928540
436,2020-12,Chevrolet,2500,22,95371,2098162
437,2020-05,Mercedes-Benz,600SEL,6,74652,447912
438,2020-09,BMW,M5,25,78962,1974050
439,2020-03,Mitsubishi,Pajero,9,88673,798057
440,2020-04,MINI,Clubman,21,37873,795333
441,2020-12,Honda,Accord,43,96651,4155993
442,2020-01,Mazda,CX-5,15,53956,809340
443,2020-05,Isuzu,Trooper,20,81462,1629240
444,2020-05,Infiniti,Q,15,24216,363240
445,2020-05,Jaguar,XK Series,22,98507,2167154
446,2020-04,Lexus,ES,14,76664,1073296
447,2020-03,Pontiac,Sunfire,7,44901,314307
448,2020-08,Ford,Escape,26,44737,1163162
449,2020-04,Buick,Verano,23,31733,729859
450,2020-08,GMC,Acadia,23,71816,1651768
451,2020-06,Oldsmobile,Intrigue,39,29299,1142661
452,2020-09,BMW,7 Series,29,58429,1694441
453,2020-07,Porsche,Cayenne,38,20990,797620
454,2020-06,GMC,Yukon,14,16791,235074
455,2020-03,Smart,Fortwo,1,89170,89170
456,2020-09,BMW,7 Series,38,79670,3027460
457,2020-08,Toyota,MR2,26,64599,1679574
458,2020-07,BMW,M Roadster,20,37231,744620
459,2020-03,Acura,Integra,31,28437,881547
460,2020-06,Ford,Excursion,9,80260,722340
461,2020-06,GMC,3500,22,86831,1910282
462,2020-02,Ford,EXP,47,10038,471786
463,2020-11,Subaru,SVX,37,21942,811854
464,2020-03,Mazda,MPV,25,34521,863025
465,2020-05,Volvo,C70,29,41783,1211707
466,2020-12,Buick,Century,33,14711,485463
467,2020-10,Saturn,Aura,44,20146,886424
468,2020-06,Chevrolet,Monte Carlo,25,51596,1289900
469,2020-12,BMW,5 Series,16,76464,1223424
470,2020-05,Toyota,Supra,5,55227,276135
471,2020-01,Mitsubishi,Pajero,9,29087,261783
472,2020-02,Mazda,Mazda3,25,86134,2153350
473,2020-08,Isuzu,Trooper,50,81371,4068550
474,2020-06,Mitsubishi,Chariot,39,37878,1477242
475,2020-08,Ford,Taurus,6,59644,357864
476,2020-01,Volvo,V40,36,59431,2139516
477,2020-11,Lexus,SC,3,11415,34245
478,2020-11,Cadillac,Fleetwood,27,66572,1797444
479,2020-01,Kia,Mentor,29,60487,1754123
480,2020-11,Isuzu,Rodeo,41,47339,1940899
481,2020-03,Lincoln,Navigator L,16,15498,247968
482,2020-12,Chevrolet,Monte Carlo,45,65548,2949660
483,2020-03,GMC,1500 Club Coupe,20,11178,223560
484,2020-12,Chrysler,New Yorker,46,44361,2040606
485,2020-03,Geo,Tracker,49,76911,3768639
486,2020-10,Saab,9-3,41,56701,2324741
487,2020-03,Cadillac,SRX,50,71650,3582500
488,2020-06,Toyota,Celica,10,83959,839590
489,2020-12,Buick,Terraza,34,34432,1170688
490,2020-07,Honda,Passport,12,18178,218136
491,2020-04,Buick,Riviera,1,58076,58076
492,2020-08,Mercury,Sable,11,28519,313709
493,2020-08,BMW,745,1,60650,60650
494,2020-09,Daewoo,Leganza,39,51782,2019498
495,2020-07,Mercedes-Benz,300SL,49,36075,1767675
496,2020-04,Ford,Explorer,22,62719,1379818
497,2020-12,Ford,Crown Victoria,7,69341,485387
498,2020-11,Bugatti,Veyron,18,58912,1060416
499,2020-12,Chevrolet,Astro,45,76030,3421350
500,2020-12,Chevrolet,Corvette,13,55766,724958
501,2020-10,Buick,Skylark,4,80796,323184
502,2020-08,Toyota,Camry,19,82996,1576924
503,2020-04,Dodge,Caravan,34,28159,957406
504,2020-06,Chevrolet,Camaro,13,75567,982371
505,2020-12,Honda,Civic,12,92754,1113048
506,2020-06,Chrysler,Town & Country,7,17073,119511
507,2020-03,Lincoln,Navigator,46,68847,3166962
508,2020-12,Suzuki,Daewoo Magnus,16,19051,304816
509,2020-07,Audi,A6,35,56429,1975015
510,2020-05,Suzuki,Sidekick,2,93481,186962
511,2020-09,Toyota,Previa,25,71247,1781175
512,2020-03,Ford,Thunderbird,19,58298,1107662
513,2020-01,Nissan,Xterra,46,57379,2639434
514,2020-05,Jeep,Wrangler,42,46256,1942752
515,2020-06,Ford,F-Series Super Duty,17,27972,475524
516,2020-09,Mitsubishi,Lancer,41,83604,3427764
517,2020-11,Mercedes-Benz,300D,35,19950,698250
518,2020-06,GMC,2500 Club Coupe,41,86050,3528050
519,2020-11,GMC,Yukon XL 2500,30,89050,2671500
520,2020-11,Acura,RDX,5,16207,81035
521,2020-08,GMC,Sierra 3500,24,48451,1162824
522,2020-07,Panoz,Esperante,1,19757,19757
523,2020-02,Dodge,Ram Wagon B250,2,99256,198512
524,2020-09,Toyota,MR2,31,20394,632214
525,2020-02,Jeep,Patriot,47,20416,959552
526,2020-11,Audi,A8,38,66196,2515448
527,2020-05,Chrysler,Voyager,36,75136,2704896
528,2020-12,Mitsubishi,Tundra,43,47339,2035577
529,2020-02,Buick,LeSabre,49,95858,4697042
530,2020-05,Ford,GT,50,78970,3948500
531,2020-07,Mercedes-Benz,CLK-Class,37,20599,762163
532,2020-07,MINI,Cooper,47,32750,1539250
533,2020-06,Chevrolet,Silverado 3500,36,27311,983196
534,2020-11,Ford,E250,6,95143,570858
535,2020-09,Mitsubishi,Truck,15,75342,1130130
536,2020-09,Mercedes-Benz,C-Class,18,91642,1649556
